City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road (miles),Shared Road %,Other (miles),Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Freiburg,Germany,236236.0,Destination,Best Area,84.8,0.4,103%,97%,85.2,4.4,133.0,,,,,,,382.0,,,,962.4,0.446,,,,,0.2,,,,,
Tallinn,Estonia,456500.0,Infrastructure,City Wide,88.1,0.6,104%,96%,88.8,6.7,137.0,687.0,0.446,490.0,,,,,,853.20,,555.0,,2095.0,,,,,14.5,12.5,10.9,,
Tallinn,Estonia,456500.0,Infrastructure,Best Area,88.7,0.4,104%,96%,89.1,7.1,146.0,707.0,0.437,,,,,,,911.90,,592.9,,2212.0,,,,,14.9,13.3,11.9,,
Tallinn,Estonia,456500.0,Balanced,City Wide,84.8,0.4,104%,96%,85.3,6.7,137.0,687.0,0.446,490.0,,,,,,853.20,,555.0,,2095.0,,,,,14.5,12.5,10.9,,
Tallinn,Estonia,456500.0,Balanced,Best Area,85.2,0.3,104%,96%,85.5,7.1,146.0,707.0,0.437,,,,,,,909.20,,591.8,,2208.0,,,,,14.9,13.4,11.9,,
Tallinn,Estonia,456500.0,Destination,City Wide,81.4,0.2,104%,96%,81.6,6.7,136.0,686.0,0.446,490.0,,,,,,851.00,,553.8,,2091.0,,,,,14.5,12.4,10.9,,
Tallinn,Estonia,456500.0,Destination,Best Area,81.6,0.2,104%,96%,81.8,7.1,145.0,704.0,0.438,,0.229,,,,,902.90,,588.3,,2195.0,,,,,15.0,13.4,11.7,,
Minneapolis,MN,426845.0,Infrastructure,City Wide,88.9,3.4,105%,94%,93.4,9.3,199.0,924.0,,750.0,,173.0,0.051,867.0,0.254,,0.295,621.0,,3419.0,,,,,13.5,12.6,11.5,,14.0
Minneapolis,MN,426845.0,Infrastructure,Best Area,92.3,3.2,106%,94%,95.5,10.7,245.0,1132.0,,942.0,,190.0,0.046,933.0,0.227,,0.331,680.1,,4105.0,,,,,14.9,13.3,12.7,,14.0
Minneapolis,MN,426845.0,Balanced,City Wide,84.4,2.7,105%,94%,87.8,9.3,198.0,918.0,,743.0,,175.0,0.051,877.0,0.257,987.00,0.289,627.2,,3410.0,,,,,13.5,12.5,11.4,,12.0
Minneapolis,MN,426845.0,Balanced,Best Area,87.1,2.7,106%,94%,89.8,10.7,243.0,1118.0,,924.0,,194.0,0.047,958.0,0.234,,0.323,693.2,,4093.0,,,,,14.9,13.3,12.6,,8.0
Minneapolis,MN,426845.0,Destination,City Wide,79.6,2.0,105%,94%,82.0,9.3,197.0,917.0,,742.0,,176.0,0.052,876.0,0.257,984.00,0.289,626.5,,3404.0,,,,,13.5,12.5,11.4,,-5.0
Minneapolis,MN,426845.0,Destination,Best Area,81.6,2.2,106%,94%,83.8,10.7,238.0,1091.0,,895.0,,196.0,0.049,981.0,0.243,,0.311,705.2,,4030.0,,,,,14.9,13.3,12.5,,-14.0
Eindhoven,Netherlands,246848.0,Infrastructure,City Wide,93.4,1.1,111%,98%,94.6,10.7,205.0,1061.0,,926.0,,,,,,,,916.4,,3422.0,,,,,16.5,14.2,13.4,,
